==================================================
MICRO-515 Challenge 1b - Evaluation Results
==================================================

Controller type : OscillatoryController
Checkpoint      : results/20260402_124416_nsga_ckpts
Environment     : Ant-v5 (no contact forces)
Episodes        : 256

--------------------------------------------------
Per-episode rewards:
  Episode   1:    1122.96
  Episode   2:    1115.88
  Episode   3:    1123.98
  Episode   4:    1121.61
  Episode   5:    1131.45
  Episode   6:    1125.48
  Episode   7:    1130.14
  Episode   8:    1124.68
  Episode   9:    1128.60
  Episode  10:    1116.51
  Episode  11:    1121.25
  Episode  12:    1120.67
  Episode  13:    1116.69
  Episode  14:    1112.48
  Episode  15:    1114.70
  Episode  16:    1119.81
  Episode  17:    1123.76
  Episode  18:    1117.78
  Episode  19:    1123.28
  Episode  20:    1110.42
  Episode  21:    1127.79
  Episode  22:    1123.47
  Episode  23:    1129.52
  Episode  24:    1119.59
  Episode  25:    1119.74
  Episode  26:    1117.93
  Episode  27:    1118.03
  Episode  28:    1126.36
  Episode  29:    1125.59
  Episode  30:    1127.44
  Episode  31:    1116.98
  Episode  32:    1104.95
  Episode  33:    1114.95
  Episode  34:    1112.92
  Episode  35:    1120.81
  Episode  36:    1125.15
  Episode  37:    1122.02
  Episode  38:    1108.30
  Episode  39:    1125.77
  Episode  40:    1112.85
  Episode  41:    1115.82
  Episode  42:    1124.22
  Episode  43:    1125.46
  Episode  44:    1119.52
  Episode  45:    1123.11
  Episode  46:    1123.71
  Episode  47:    1112.19
  Episode  48:    1113.92
  Episode  49:    1094.91
  Episode  50:    1130.86
  Episode  51:    1126.91
  Episode  52:    1128.15
  Episode  53:    1122.51
  Episode  54:    1119.04
  Episode  55:    1105.74
  Episode  56:    1123.20
  Episode  57:    1115.44
  Episode  58:    1122.28
  Episode  59:    1118.79
  Episode  60:    1124.48
  Episode  61:    1112.85
  Episode  62:    1130.85
  Episode  63:    1119.75
  Episode  64:    1119.19
  Episode  65:    1125.66
  Episode  66:    1115.27
  Episode  67:    1123.23
  Episode  68:    1113.94
  Episode  69:    1127.36
  Episode  70:    1122.61
  Episode  71:    1121.89
  Episode  72:    1123.88
  Episode  73:    1130.05
  Episode  74:    1126.90
  Episode  75:    1125.61
  Episode  76:    1126.42
  Episode  77:    1125.13
  Episode  78:    1121.03
  Episode  79:    1114.56
  Episode  80:    1108.01
  Episode  81:    1128.21
  Episode  82:    1116.00
  Episode  83:    1119.56
  Episode  84:    1119.73
  Episode  85:    1131.92
  Episode  86:    1114.52
  Episode  87:    1103.81
  Episode  88:    1122.38
  Episode  89:    1125.03
  Episode  90:    1112.39
  Episode  91:    1126.66
  Episode  92:    1126.89
  Episode  93:    1121.16
  Episode  94:    1116.17
  Episode  95:    1127.37
  Episode  96:    1118.36
  Episode  97:    1116.67
  Episode  98:    1120.55
  Episode  99:    1130.15
  Episode 100:    1127.37
  Episode 101:    1126.16
  Episode 102:    1127.14
  Episode 103:    1127.94
  Episode 104:    1124.14
  Episode 105:    1121.14
  Episode 106:    1123.01
  Episode 107:    1121.06
  Episode 108:    1112.89
  Episode 109:    1112.33
  Episode 110:    1128.51
  Episode 111:    1128.25
  Episode 112:    1118.03
  Episode 113:    1124.91
  Episode 114:    1101.25
  Episode 115:    1119.59
  Episode 116:    1130.36
  Episode 117:    1121.93
  Episode 118:    1123.15
  Episode 119:    1110.52
  Episode 120:    1119.13
  Episode 121:    1116.38
  Episode 122:    1116.77
  Episode 123:    1130.23
  Episode 124:    1116.60
  Episode 125:    1126.27
  Episode 126:    1131.40
  Episode 127:    1112.77
  Episode 128:    1103.29
  Episode 129:    1115.47
  Episode 130:    1122.50
  Episode 131:    1118.55
  Episode 132:    1125.44
  Episode 133:    1126.69
  Episode 134:    1121.35
  Episode 135:    1124.07
  Episode 136:    1123.56
  Episode 137:    1116.30
  Episode 138:    1131.61
  Episode 139:    1118.33
  Episode 140:    1121.41
  Episode 141:    1108.52
  Episode 142:    1116.74
  Episode 143:    1115.08
  Episode 144:    1125.91
  Episode 145:    1116.45
  Episode 146:    1120.65
  Episode 147:    1121.51
  Episode 148:    1111.68
  Episode 149:    1124.56
  Episode 150:    1104.78
  Episode 151:    1120.51
  Episode 152:    1120.98
  Episode 153:    1118.98
  Episode 154:    1129.15
  Episode 155:    1130.02
  Episode 156:    1131.25
  Episode 157:    1127.38
  Episode 158:    1130.42
  Episode 159:    1127.70
  Episode 160:    1110.55
  Episode 161:    1121.14
  Episode 162:    1110.31
  Episode 163:    1126.30
  Episode 164:    1114.29
  Episode 165:    1125.75
  Episode 166:    1125.39
  Episode 167:    1109.46
  Episode 168:    1117.75
  Episode 169:    1118.36
  Episode 170:    1118.30
  Episode 171:    1119.40
  Episode 172:    1127.90
  Episode 173:    1132.28
  Episode 174:    1120.90
  Episode 175:    1124.66
  Episode 176:    1130.75
  Episode 177:    1116.31
  Episode 178:    1122.63
  Episode 179:    1120.94
  Episode 180:    1106.68
  Episode 181:    1120.17
  Episode 182:    1109.43
  Episode 183:    1112.07
  Episode 184:    1117.30
  Episode 185:    1128.01
  Episode 186:    1119.03
  Episode 187:    1127.58
  Episode 188:    1126.18
  Episode 189:    1123.84
  Episode 190:    1113.01
  Episode 191:    1124.85
  Episode 192:    1117.11
  Episode 193:    1130.49
  Episode 194:    1111.24
  Episode 195:    1126.31
  Episode 196:    1123.38
  Episode 197:    1128.34
  Episode 198:    1118.87
  Episode 199:    1116.01
  Episode 200:    1118.97
  Episode 201:    1119.56
  Episode 202:    1129.85
  Episode 203:    1124.60
  Episode 204:    1122.58
  Episode 205:    1115.27
  Episode 206:    1110.35
  Episode 207:    1129.17
  Episode 208:    1126.20
  Episode 209:    1095.54
  Episode 210:    1119.54
  Episode 211:    1122.29
  Episode 212:    1126.30
  Episode 213:    1127.64
  Episode 214:    1117.79
  Episode 215:    1131.37
  Episode 216:    1116.89
  Episode 217:    1125.22
  Episode 218:    1130.33
  Episode 219:    1113.90
  Episode 220:    1111.93
  Episode 221:    1124.56
  Episode 222:    1122.82
  Episode 223:    1126.28
  Episode 224:    1121.55
  Episode 225:    1127.16
  Episode 226:    1120.33
  Episode 227:    1118.93
  Episode 228:    1130.12
  Episode 229:    1113.84
  Episode 230:    1125.76
  Episode 231:    1115.51
  Episode 232:    1112.73
  Episode 233:    1090.08
  Episode 234:    1119.55
  Episode 235:    1125.66
  Episode 236:    1114.04
  Episode 237:    1117.29
  Episode 238:    1108.44
  Episode 239:    1121.94
  Episode 240:    1118.98
  Episode 241:    1128.74
  Episode 242:    1121.94
  Episode 243:    1115.17
  Episode 244:    1126.79
  Episode 245:    1117.36
  Episode 246:    1122.19
  Episode 247:    1127.24
  Episode 248:    1132.25
  Episode 249:    1115.02
  Episode 250:    1119.14
  Episode 251:    1108.99
  Episode 252:    1128.72
  Episode 253:    1121.83
  Episode 254:    1132.29
  Episode 255:    1125.60
  Episode 256:    1124.55
--------------------------------------------------

MEAN SCORE : 1120.73
STD        : 7.10
MIN        : 1090.08
MAX        : 1132.29

Video episode reward: 1114.84
