Num. Generations: 100
Population Size: 100
Sigma (mutation strength): 0.6
(50_w,100)-aCMA-ES (mu_w=27.0,w_1=8%) in dimension 560 (seed=427468, Thu Mar 12 13:06:40 2026)
Generation 1/100: Best=1950.28, Mean=20.51, Overall Best=1950.28
Generation 2/100: Best=1762.08, Mean=127.46, Overall Best=1950.28
Generation 3/100: Best=1614.69, Mean=189.98, Overall Best=1950.28
Generation 4/100: Best=704.36, Mean=187.94, Overall Best=1950.28
Generation 5/100: Best=1701.13, Mean=258.19, Overall Best=1950.28
Generation 6/100: Best=712.71, Mean=192.69, Overall Best=1950.28
Generation 7/100: Best=1673.72, Mean=306.73, Overall Best=1950.28
Generation 8/100: Best=1505.86, Mean=273.29, Overall Best=1950.28
Generation 9/100: Best=971.01, Mean=241.25, Overall Best=1950.28
Generation 10/100: Best=698.29, Mean=255.16, Overall Best=1950.28
Generation 11/100: Best=714.83, Mean=258.22, Overall Best=1950.28
Generation 12/100: Best=717.30, Mean=356.12, Overall Best=1950.28
Generation 13/100: Best=706.46, Mean=313.72, Overall Best=1950.28
Generation 14/100: Best=1944.83, Mean=303.78, Overall Best=1950.28
Generation 15/100: Best=690.61, Mean=293.63, Overall Best=1950.28
Generation 16/100: Best=713.82, Mean=298.85, Overall Best=1950.28
Generation 17/100: Best=1993.91, Mean=310.08, Overall Best=1993.91
Generation 18/100: Best=675.94, Mean=315.28, Overall Best=1993.91
Generation 19/100: Best=709.08, Mean=304.72, Overall Best=1993.91
Generation 20/100: Best=685.88, Mean=282.06, Overall Best=1993.91
Generation 21/100: Best=731.02, Mean=326.13, Overall Best=1993.91
Generation 22/100: Best=705.81, Mean=358.37, Overall Best=1993.91
Generation 23/100: Best=1944.75, Mean=330.68, Overall Best=1993.91
Generation 24/100: Best=706.68, Mean=293.32, Overall Best=1993.91
Generation 25/100: Best=714.02, Mean=292.33, Overall Best=1993.91
Generation 26/100: Best=717.46, Mean=290.29, Overall Best=1993.91
Generation 27/100: Best=712.13, Mean=291.96, Overall Best=1993.91
Generation 28/100: Best=750.44, Mean=327.29, Overall Best=1993.91
Generation 29/100: Best=679.36, Mean=283.87, Overall Best=1993.91
Generation 30/100: Best=708.89, Mean=344.23, Overall Best=1993.91
Generation 31/100: Best=723.68, Mean=340.01, Overall Best=1993.91
Generation 32/100: Best=1980.96, Mean=382.59, Overall Best=1993.91
Generation 33/100: Best=740.98, Mean=341.63, Overall Best=1993.91
Generation 34/100: Best=714.32, Mean=339.06, Overall Best=1993.91
Generation 35/100: Best=1904.13, Mean=375.19, Overall Best=1993.91
Generation 36/100: Best=714.07, Mean=343.50, Overall Best=1993.91
Generation 37/100: Best=703.04, Mean=371.12, Overall Best=1993.91
Generation 38/100: Best=687.63, Mean=332.19, Overall Best=1993.91
Generation 39/100: Best=685.95, Mean=340.73, Overall Best=1993.91
Generation 40/100: Best=696.81, Mean=339.93, Overall Best=1993.91
Generation 41/100: Best=732.79, Mean=308.81, Overall Best=1993.91
Generation 42/100: Best=670.31, Mean=324.21, Overall Best=1993.91
Generation 43/100: Best=767.77, Mean=345.28, Overall Best=1993.91
Generation 44/100: Best=703.90, Mean=366.48, Overall Best=1993.91
Generation 45/100: Best=1883.94, Mean=355.59, Overall Best=1993.91
Generation 46/100: Best=697.54, Mean=323.90, Overall Best=1993.91
Generation 47/100: Best=708.27, Mean=312.90, Overall Best=1993.91
Generation 48/100: Best=698.53, Mean=342.28, Overall Best=1993.91
Generation 49/100: Best=695.97, Mean=333.75, Overall Best=1993.91
Generation 50/100: Best=754.22, Mean=365.16, Overall Best=1993.91
Generation 51/100: Best=691.64, Mean=348.11, Overall Best=1993.91
Generation 52/100: Best=698.77, Mean=345.86, Overall Best=1993.91
Generation 53/100: Best=688.35, Mean=321.52, Overall Best=1993.91
Generation 54/100: Best=753.84, Mean=346.04, Overall Best=1993.91
Generation 55/100: Best=688.50, Mean=317.49, Overall Best=1993.91
Generation 56/100: Best=740.70, Mean=341.23, Overall Best=1993.91
Generation 57/100: Best=743.99, Mean=386.77, Overall Best=1993.91
Generation 58/100: Best=730.52, Mean=355.75, Overall Best=1993.91
Generation 59/100: Best=713.85, Mean=348.30, Overall Best=1993.91
Generation 60/100: Best=701.22, Mean=343.53, Overall Best=1993.91
Generation 61/100: Best=680.07, Mean=356.03, Overall Best=1993.91
Generation 62/100: Best=697.48, Mean=371.52, Overall Best=1993.91
Generation 63/100: Best=702.57, Mean=323.55, Overall Best=1993.91
Generation 64/100: Best=698.22, Mean=356.00, Overall Best=1993.91
Generation 65/100: Best=682.95, Mean=341.16, Overall Best=1993.91
Generation 66/100: Best=766.66, Mean=341.05, Overall Best=1993.91
Generation 67/100: Best=755.31, Mean=371.46, Overall Best=1993.91
Generation 68/100: Best=712.65, Mean=365.09, Overall Best=1993.91
Generation 69/100: Best=756.33, Mean=371.89, Overall Best=1993.91
Generation 70/100: Best=753.19, Mean=336.01, Overall Best=1993.91
Generation 71/100: Best=709.65, Mean=416.19, Overall Best=1993.91
Generation 72/100: Best=756.17, Mean=314.78, Overall Best=1993.91
Generation 73/100: Best=712.01, Mean=353.51, Overall Best=1993.91
Generation 74/100: Best=715.71, Mean=340.47, Overall Best=1993.91
Generation 75/100: Best=720.15, Mean=351.15, Overall Best=1993.91
Generation 76/100: Best=736.53, Mean=344.80, Overall Best=1993.91
Generation 77/100: Best=719.13, Mean=355.52, Overall Best=1993.91
Generation 78/100: Best=713.32, Mean=342.80, Overall Best=1993.91
Generation 79/100: Best=761.06, Mean=342.28, Overall Best=1993.91
Generation 80/100: Best=717.81, Mean=359.17, Overall Best=1993.91
Generation 81/100: Best=751.94, Mean=358.41, Overall Best=1993.91
Generation 82/100: Best=699.15, Mean=357.22, Overall Best=1993.91
Generation 83/100: Best=723.45, Mean=310.53, Overall Best=1993.91
Generation 84/100: Best=667.00, Mean=312.91, Overall Best=1993.91
Generation 85/100: Best=712.87, Mean=355.67, Overall Best=1993.91
Generation 86/100: Best=686.31, Mean=331.71, Overall Best=1993.91
Generation 87/100: Best=732.61, Mean=312.18, Overall Best=1993.91
Generation 88/100: Best=716.37, Mean=355.77, Overall Best=1993.91
Generation 89/100: Best=709.21, Mean=332.44, Overall Best=1993.91
Generation 90/100: Best=797.82, Mean=369.39, Overall Best=1993.91
Generation 91/100: Best=766.86, Mean=358.47, Overall Best=1993.91
Generation 92/100: Best=735.48, Mean=398.84, Overall Best=1993.91
Generation 93/100: Best=748.48, Mean=341.81, Overall Best=1993.91
Generation 94/100: Best=744.75, Mean=322.17, Overall Best=1993.91
Generation 95/100: Best=762.47, Mean=348.01, Overall Best=1993.91
Generation 96/100: Best=733.90, Mean=336.30, Overall Best=1993.91
Generation 97/100: Best=763.71, Mean=388.11, Overall Best=1993.91
Generation 98/100: Best=747.97, Mean=396.03, Overall Best=1993.91
Generation 99/100: Best=770.38, Mean=397.93, Overall Best=1993.91
Generation 100/100: Best=768.63, Mean=366.67, Overall Best=1993.91

Evolution complete! Best fitness: 1993.91
Checkpoints saved to results/20260312_130640_neural_controller_ckpts
Fitness plot saved to: results/20260312_130640_neural_controller_ckpts/fitness_plot.pdf

Total elapsed time: 1151.79 seconds (19.20 minutes)
